,page,country,rev_id,prediction,Geography,population
0,Bir I of Kanem,CHAD,355319463,Stub,CHAD,15.4
1,Abdullah II of Kanem,CHAD,498683267,Stub,CHAD,15.4
2,Salmama II of Kanem,CHAD,565745353,Stub,CHAD,15.4
3,Kuri I of Kanem,CHAD,565745365,Stub,CHAD,15.4
4,Mohammed I of Kanem,CHAD,565745375,Stub,CHAD,15.4
5,Kuri II of Kanem,CHAD,669719757,Stub,CHAD,15.4
6,Bir II of Kanem,CHAD,670893206,Stub,CHAD,15.4
7,Mahamat Hissene,CHAD,693055898,Stub,CHAD,15.4
8,Othman I,CHAD,705432607,Stub,CHAD,15.4
9,Alphonse Kotiga,CHAD,707593108,Stub,CHAD,15.4
10,Oueddei Kichidemi,CHAD,708346649,Start,CHAD,15.4
11,Dunama I,CHAD,710675092,Stub,CHAD,15.4
12,Ahmad (Kanem-Bornu king),CHAD,711388267,Stub,CHAD,15.4
13,Djibrine Kerallah,CHAD,712971263,Stub,CHAD,15.4
14,Maurice Ngangtar,CHAD,712971315,Stub,CHAD,15.4
15,Idriss Miskine,CHAD,712971738,Stub,CHAD,15.4
16,Laoukein Kourayo Médard,CHAD,716886170,Stub,CHAD,15.4
17,Nadji Madou,CHAD,716886788,Stub,CHAD,15.4
18,Noël Milarew Odingar,CHAD,716891799,Start,CHAD,15.4
19,Yaya Dillo Djérou,CHAD,717733209,Stub,CHAD,15.4
20,Acheikh Ibn-Oumar,CHAD,719821590,Start,CHAD,15.4
21,Quatre Sou Quatre,CHAD,720066754,Stub,CHAD,15.4
22,Ali Gazi,CHAD,722563340,Stub,CHAD,15.4
23,Mahamat Djarma Khatir,CHAD,725132042,Stub,CHAD,15.4
24,Dunama IX Lefiami,CHAD,731749611,Stub,CHAD,15.4
25,Dawud of Kanem,CHAD,736550266,Stub,CHAD,15.4
26,Ahmed Koulamallah,CHAD,738855197,Start,CHAD,15.4
27,Abbo Nassour,CHAD,741369486,B,CHAD,15.4
28,Abdel Kader Baba-Laddé,CHAD,742213176,Stub,CHAD,15.4
29,Hummay,CHAD,747271475,Stub,CHAD,15.4
30,Ngarlejy Yorongar,CHAD,751304544,C,CHAD,15.4
31,Saleh Kezabo,CHAD,751380073,Stub,CHAD,15.4
32,Bourkou Louise Kabo,CHAD,757072468,Start,CHAD,15.4
33,Brahim Koulamallah,CHAD,757802238,Stub,CHAD,15.4
34,Saadie Goukouni Weddeye,CHAD,757842614,Start,CHAD,15.4
35,Mahamoud Adam Béchir,CHAD,762579466,Start,CHAD,15.4
36,Kalthouma Nguembang,CHAD,762816132,Stub,CHAD,15.4
37,Djidingar Dono Ngardoum,CHAD,764133533,Stub,CHAD,15.4
38,Template:ChadPMs,CHAD,768123377,Stub,CHAD,15.4
39,Template:ChadPres,CHAD,770535091,Stub,CHAD,15.4
40,Youssouf Saleh Abbas,CHAD,771052289,B,CHAD,15.4
41,Koibla Djimasta,CHAD,774223245,Start,CHAD,15.4
42,Nassour Guelendouksia Ouaido,CHAD,774223248,C,CHAD,15.4
43,Joseph Brahim Seid,CHAD,777478442,Stub,CHAD,15.4
44,Joseph Yodoyman,CHAD,777550078,Start,CHAD,15.4
45,Antoine Bangui,CHAD,782638002,Start,CHAD,15.4
46,Ibrahim IV of Bornu,CHAD,785614014,Stub,CHAD,15.4
47,Hadjé Halimé,CHAD,786449636,C,CHAD,15.4
48,Youssouf Togoïmi,CHAD,787390241,Start,CHAD,15.4
49,Adoum Younousmi,CHAD,787719236,Start,CHAD,15.4
50,François Tombalbaye,CHAD,787738541,C,CHAD,15.4
51,Ahmat Hassaballah Soubiane,CHAD,787910771,Stub,CHAD,15.4
52,Ahmad Allam-Mi,CHAD,787921293,Start,CHAD,15.4
53,Laotegguelnodji Koumtog,CHAD,788009613,Stub,CHAD,15.4
54,Mahamat Ali Adoum,CHAD,788014671,Start,CHAD,15.4
55,Mahamat Saleh Annadif,CHAD,788658822,C,CHAD,15.4
56,Mohamed Bechir-Sow,CHAD,788827248,Stub,CHAD,15.4
57,Gontchomé Sahoulba,CHAD,788828388,Start,CHAD,15.4
58,Gabriel Lisette,CHAD,788828519,Start,CHAD,15.4
59,Ali II of Bornu,CHAD,788999424,Stub,CHAD,15.4
60,Arabi El Goni,CHAD,789126126,Stub,CHAD,15.4
61,Dunama Dabbalemi,CHAD,789935196,Start,CHAD,15.4
62,Idris Alooma,CHAD,792734868,Start,CHAD,15.4
63,Mahamat Nouri,CHAD,792954115,FA,CHAD,15.4
64,Idriss Ndele Moussa,CHAD,796654025,Stub,CHAD,15.4
65,Mbaydoum Simeon,CHAD,796690873,Stub,CHAD,15.4
66,Ngarindo Milengar,CHAD,796700718,Stub,CHAD,15.4
67,List of Prime Ministers of Chad,CHAD,797747674,Start,CHAD,15.4
68,Idriss Déby,CHAD,798286150,C,CHAD,15.4
69,Saleh Kebzabo,CHAD,798626040,C,CHAD,15.4
70,Moussa Faki,CHAD,799043301,C,CHAD,15.4
71,Template:Chad-politician-stub,CHAD,799373925,Stub,CHAD,15.4
72,Kalzeubet Pahimi Deubet,CHAD,799413193,Start,CHAD,15.4
73,Haroun Kabadi,CHAD,799447895,Start,CHAD,15.4
74,Nagoum Yamassoum,CHAD,799447995,Start,CHAD,15.4
75,Outel Bono,CHAD,799448338,Start,CHAD,15.4
76,Ahmat Acyl,CHAD,799902492,C,CHAD,15.4
77,Djimrangar Dadnadji,CHAD,800133552,Start,CHAD,15.4
78,Delwa Kassiré Koumakoye,CHAD,801029539,C,CHAD,15.4
79,Fidèle Moungar,CHAD,801192255,C,CHAD,15.4
80,Jean Alingué Bawoyeu,CHAD,801192303,B,CHAD,15.4
81,Emmanuel Nadingar,CHAD,801573576,C,CHAD,15.4
82,Roger Djikisna,CHAD,801583221,Stub,CHAD,15.4
83,Firmin Djidingar,CHAD,801583260,Stub,CHAD,15.4
84,Idris I of Kanem,CHAD,802874918,Stub,CHAD,15.4
85,Vice President of Chad,CHAD,803166509,Stub,CHAD,15.4
86,Hissène Habré,CHAD,803166806,GA,CHAD,15.4
87,Negue Djogo,CHAD,803166989,Start,CHAD,15.4
88,Wadel Abdelkader Kamougué,CHAD,803167152,C,CHAD,15.4
89,Félix Malloum,CHAD,803167336,Start,CHAD,15.4
90,Lol Mahamat Choua,CHAD,803167424,C,CHAD,15.4
91,Goukouni Oueddei,CHAD,803167990,C,CHAD,15.4
92,Albert Pahimi Padacké,CHAD,803433107,C,CHAD,15.4
93,List of heads of state of Chad,CHAD,803812011,Start,CHAD,15.4
94,Elise Loum,CHAD,804773540,Start,CHAD,15.4
95,Agnes Allafi,CHAD,805493169,Start,CHAD,15.4
96,Christine Georges Diguibaye,CHAD,806337653,Stub,CHAD,15.4
97,Pascal Yoadimnadji,CHAD,806508985,Start,CHAD,15.4
98,Aissa Koli,CHAD,806616268,Start,CHAD,15.4
99,Omar I of Kanem,CHAD,807425129,Start,CHAD,15.4
100,Template:Zimbabwe-politician-stub,ZIMBABWE,391862046,Stub,ZIMBABWE,14
101,Template:Zimbabwe-mayor-stub,ZIMBABWE,444767985,Stub,ZIMBABWE,14
102,Jabulani Dube,ZIMBABWE,645408814,Stub,ZIMBABWE,14
103,Fletcher Dulini,ZIMBABWE,669981316,Stub,ZIMBABWE,14
104,Leopold Takawira,ZIMBABWE,710060929,Start,ZIMBABWE,14
105,Tinos Rusere,ZIMBABWE,710524880,Start,ZIMBABWE,14
106,Gift Tandare,ZIMBABWE,710615823,Stub,ZIMBABWE,14
107,Engelbert Rugeje,ZIMBABWE,711448400,Start,ZIMBABWE,14
108,Max Mnkandla,ZIMBABWE,711509855,Stub,ZIMBABWE,14
109,Lovemore Matombo,ZIMBABWE,711958194,Stub,ZIMBABWE,14
110,Alfred Nikita Mangena,ZIMBABWE,712004487,Stub,ZIMBABWE,14
111,Simbi Mubako,ZIMBABWE,713121927,Stub,ZIMBABWE,14
112,Nicholas Kiti kiti,ZIMBABWE,713308132,Stub,ZIMBABWE,14
113,Aleck Gumbo,ZIMBABWE,713580662,Stub,ZIMBABWE,14
114,Jabulani Sibanda,ZIMBABWE,713618917,Start,ZIMBABWE,14
115,Cain Mathema,ZIMBABWE,713726531,Stub,ZIMBABWE,14
116,Patrick Kombayi,ZIMBABWE,713740128,Stub,ZIMBABWE,14
117,Langton Towungana,ZIMBABWE,713899377,Stub,ZIMBABWE,14
118,Eric Matinenga,ZIMBABWE,714455111,Stub,ZIMBABWE,14
119,Emmanuel Chiroto,ZIMBABWE,714535045,Stub,ZIMBABWE,14
120,Muchadeyi Masunda,ZIMBABWE,714706533,C,ZIMBABWE,14
121,David Butau,ZIMBABWE,714967769,Stub,ZIMBABWE,14
122,Thompson Samkange,ZIMBABWE,715131189,Stub,ZIMBABWE,14
123,Nomalanga Khumalo,ZIMBABWE,715183334,Stub,ZIMBABWE,14
124,Henry Dzinotyiweyi,ZIMBABWE,715867004,Stub,ZIMBABWE,14
125,Edward Raradza,ZIMBABWE,716017725,Stub,ZIMBABWE,14
126,Rekayi Tangwena,ZIMBABWE,716669163,Stub,ZIMBABWE,14
127,Sibonile Nyamudeza,ZIMBABWE,717380254,Stub,ZIMBABWE,14
128,Misheck Kagurabadza,ZIMBABWE,720008799,Stub,ZIMBABWE,14
129,Morgan Femai,ZIMBABWE,721674926,Stub,ZIMBABWE,14
130,Bybit Lydia Tsomondo,ZIMBABWE,723082034,Stub,ZIMBABWE,14
131,Kisinoti Mukwazhe,ZIMBABWE,723353282,Stub,ZIMBABWE,14
132,David Karimanzira,ZIMBABWE,725242133,Stub,ZIMBABWE,14
133,Sobusa Gula-Ndebele,ZIMBABWE,726651867,Stub,ZIMBABWE,14
134,Sylvester Nguni,ZIMBABWE,726686195,Stub,ZIMBABWE,14
135,Thamsanqa Mahlangu,ZIMBABWE,726687480,Stub,ZIMBABWE,14
136,Tichaona Mudzingwa,ZIMBABWE,726687648,Stub,ZIMBABWE,14
137,Murisi Zwizwai,ZIMBABWE,726687669,Stub,ZIMBABWE,14
138,Samuel Undenge,ZIMBABWE,726688144,Stub,ZIMBABWE,14
139,Reuben Marumahoko,ZIMBABWE,726688205,Stub,ZIMBABWE,14
140,Simon Khaya-Moyo,ZIMBABWE,730764918,Stub,ZIMBABWE,14
141,"List of candidates in the Zimbabwean parliamentary election, 2013",ZIMBABWE,735498335,B,ZIMBABWE,14
142,Jevan Maseko,ZIMBABWE,736911246,Stub,ZIMBABWE,14
143,Munacho Mutezo,ZIMBABWE,738729779,Stub,ZIMBABWE,14
144,Sesel Zvidzai,ZIMBABWE,738810400,Stub,ZIMBABWE,14
145,Samuel Sipepa Nkomo,ZIMBABWE,738992625,Stub,ZIMBABWE,14
146,Faber Chidarikire,ZIMBABWE,738992871,Start,ZIMBABWE,14
147,Willard Chiwewe,ZIMBABWE,738992910,Stub,ZIMBABWE,14
148,Martin Dinha,ZIMBABWE,738992918,Stub,ZIMBABWE,14
149,Herbert Ushewokunze,ZIMBABWE,739137894,Stub,ZIMBABWE,14
150,Nyasha Chikwinya,ZIMBABWE,742899761,Start,ZIMBABWE,14
151,Naomi Nhiwatiwa,ZIMBABWE,743971092,Start,ZIMBABWE,14
152,Bright Matonga,ZIMBABWE,744753863,Stub,ZIMBABWE,14
153,Thokozani Khuphe,ZIMBABWE,747274193,Start,ZIMBABWE,14
154,Border Gezi,ZIMBABWE,748061603,Start,ZIMBABWE,14
155,Rugare Gumbo,ZIMBABWE,749496266,Start,ZIMBABWE,14
156,George Nyandoro,ZIMBABWE,750224976,Start,ZIMBABWE,14
157,Paul Chimedza,ZIMBABWE,750428952,Stub,ZIMBABWE,14
158,Gorden Moyo,ZIMBABWE,750974704,Stub,ZIMBABWE,14
159,Daniel Shumba,ZIMBABWE,753294248,Start,ZIMBABWE,14
160,Douglas Mombeshora,ZIMBABWE,755110125,Stub,ZIMBABWE,14
161,Munyaradzi Gwisai,ZIMBABWE,755337199,Start,ZIMBABWE,14
162,Olivia Muchena,ZIMBABWE,757616307,Start,ZIMBABWE,14
163,Paurine Mpariwa,ZIMBABWE,757616437,Stub,ZIMBABWE,14
164,Sithembiso Nyoni,ZIMBABWE,757617613,Stub,ZIMBABWE,14
165,Earnest Mudzengi,ZIMBABWE,757796569,Stub,ZIMBABWE,14
166,Gift Banda,ZIMBABWE,758442662,Stub,ZIMBABWE,14
167,Wilson Kumbula,ZIMBABWE,759330558,Stub,ZIMBABWE,14
168,Paurina Mpariwa,ZIMBABWE,760532029,Stub,ZIMBABWE,14
169,Flora Buka,ZIMBABWE,762630896,Stub,ZIMBABWE,14
170,Elliot Manyika,ZIMBABWE,763330074,Start,ZIMBABWE,14
171,Diana Mitchell,ZIMBABWE,764299725,Start,ZIMBABWE,14
172,Maurice Nyagumbo,ZIMBABWE,764826793,Start,ZIMBABWE,14
173,Josiah Zion Gumede,ZIMBABWE,765095810,Start,ZIMBABWE,14
174,Edson Zvobgo,ZIMBABWE,767922311,Start,ZIMBABWE,14
175,Felix Magalela Mafa Sibanda,ZIMBABWE,769519957,C,ZIMBABWE,14
176,Tracy Mutinhiri,ZIMBABWE,769876632,Stub,ZIMBABWE,14
177,Kayisa Ndiweni,ZIMBABWE,771958995,Stub,ZIMBABWE,14
178,Enoch Dumbutshena,ZIMBABWE,774026217,Stub,ZIMBABWE,14
179,Hubert Nyanhongo,ZIMBABWE,774061307,Stub,ZIMBABWE,14
180,James Chikerema,ZIMBABWE,775935799,C,ZIMBABWE,14
181,Victoria Chitepo,ZIMBABWE,776389556,Start,ZIMBABWE,14
182,Joel Gabuza,ZIMBABWE,776840034,Stub,ZIMBABWE,14
183,Trudy Stevenson,ZIMBABWE,776943338,Start,ZIMBABWE,14
184,Joram Gumbo,ZIMBABWE,777424335,Stub,ZIMBABWE,14
185,Joseph Chinotimba,ZIMBABWE,777482252,C,ZIMBABWE,14
186,Nkululeko Sibanda,ZIMBABWE,777623864,Start,ZIMBABWE,14
187,Janet Banana,ZIMBABWE,777849777,Stub,ZIMBABWE,14
188,Lazarus Dokora,ZIMBABWE,780062778,Stub,ZIMBABWE,14
189,Lutho Tapela,ZIMBABWE,782607746,Stub,ZIMBABWE,14
190,Moven Mahachi,ZIMBABWE,783298283,Stub,ZIMBABWE,14
191,Margaret Dongo,ZIMBABWE,783419906,Start,ZIMBABWE,14
192,Sekai Holland,ZIMBABWE,783637102,C,ZIMBABWE,14
193,George Chiweshe,ZIMBABWE,783919896,Start,ZIMBABWE,14
194,Josiah Mushore Chinamano,ZIMBABWE,784396785,Stub,ZIMBABWE,14
195,Michael Bimha,ZIMBABWE,784668448,Stub,ZIMBABWE,14
196,Josiah Tongogara,ZIMBABWE,786913202,C,ZIMBABWE,14
197,Naison Ndlovu,ZIMBABWE,787854175,Stub,ZIMBABWE,14
198,Enos Mdlongwa,ZIMBABWE,787854640,Stub,ZIMBABWE,14
199,Lindiwe Majele Sibanda,ZIMBABWE,788247480,Start,ZIMBABWE,14
200,Ndabaningi Sithole,ZIMBABWE,788291899,C,ZIMBABWE,14
201,Ambrose Mutinhiri,ZIMBABWE,788777043,Stub,ZIMBABWE,14
202,Judith Todd,ZIMBABWE,788792548,Start,ZIMBABWE,14
203,Andrew Langa,ZIMBABWE,789094827,Stub,ZIMBABWE,14
204,Christopher Kuruneri,ZIMBABWE,789427326,Start,ZIMBABWE,14
205,Priscilla Misihairabwi-Mushonga,ZIMBABWE,789545114,Stub,ZIMBABWE,14
206,Swithun Mombeshora,ZIMBABWE,789545179,Stub,ZIMBABWE,14
207,Oppah Muchinguri,ZIMBABWE,789545185,Stub,ZIMBABWE,14
208,Samuel Mumbengegwi,ZIMBABWE,789545206,Start,ZIMBABWE,14
209,Chris Mushohwe,ZIMBABWE,789545212,Stub,ZIMBABWE,14
210,Giles Mutsekwa,ZIMBABWE,789545214,Start,ZIMBABWE,14
211,Francis Nhema,ZIMBABWE,789545220,Stub,ZIMBABWE,14
212,Mike Nyambuya,ZIMBABWE,789545233,Stub,ZIMBABWE,14
213,Solomon Mujuru,ZIMBABWE,789898624,C,ZIMBABWE,14
214,Ronald Penza,ZIMBABWE,789948565,Stub,ZIMBABWE,14
215,Joseph Made,ZIMBABWE,789965571,Start,ZIMBABWE,14
216,Evelyn Masaiti,ZIMBABWE,790034879,Stub,ZIMBABWE,14
217,Jessie Majome,ZIMBABWE,790035057,Start,ZIMBABWE,14
218,Theresa Makoni,ZIMBABWE,790423262,Stub,ZIMBABWE,14
219,List of Presidents of the Senate of Zimbabwe,ZIMBABWE,791068367,Stub,ZIMBABWE,14
220,Blessing Chebundo,ZIMBABWE,791690130,Start,ZIMBABWE,14
221,George Charamba,ZIMBABWE,793738070,Start,ZIMBABWE,14
222,Chenhanho Chimutengwende,ZIMBABWE,793820850,Stub,ZIMBABWE,14
223,Simon Muzenda,ZIMBABWE,794934380,Start,ZIMBABWE,14
224,Witness Mangwende,ZIMBABWE,794934451,Stub,ZIMBABWE,14
225,Nathan Shamuyarira,ZIMBABWE,794934469,C,ZIMBABWE,14
226,Joseph Makamba Busha,ZIMBABWE,795007156,Start,ZIMBABWE,14
227,Walter Chidakwa,ZIMBABWE,795247525,Stub,ZIMBABWE,14
228,Maxwell Zeb Shumba,ZIMBABWE,795637625,Start,ZIMBABWE,14
229,Henry Madzorera,ZIMBABWE,795846349,Stub,ZIMBABWE,14
230,First Lady of Zimbabwe,ZIMBABWE,796477244,Stub,ZIMBABWE,14
231,Charles Shanyurai Majange,ZIMBABWE,796608492,Stub,ZIMBABWE,14
232,Elleck Mashingaidze,ZIMBABWE,796726442,Stub,ZIMBABWE,14
233,Phillip Chiyangwa,ZIMBABWE,797170378,Start,ZIMBABWE,14
234,Chenjerai Hunzvi,ZIMBABWE,797225827,C,ZIMBABWE,14
235,Edward Chindori-Chininga,ZIMBABWE,797414978,Start,ZIMBABWE,14
236,Arthur Mutambara,ZIMBABWE,797932659,C,ZIMBABWE,14
237,Edgar Tekere,ZIMBABWE,798106157,C,ZIMBABWE,14
238,Psychology Maziwisa,ZIMBABWE,798140615,C,ZIMBABWE,14
239,Isaac Matongo,ZIMBABWE,798248963,Stub,ZIMBABWE,14
240,Julia Tukai Zvobgo,ZIMBABWE,798468363,Start,ZIMBABWE,14
241,Jameson Timba,ZIMBABWE,799326094,Stub,ZIMBABWE,14
242,Ben Ncube,ZIMBABWE,799405378,Stub,ZIMBABWE,14
243,Obedingwa Mguni,ZIMBABWE,799406056,Stub,ZIMBABWE,14
244,Denis Norman,ZIMBABWE,799605293,Start,ZIMBABWE,14
245,Japhet Ndabeni Ncube,ZIMBABWE,800407734,Stub,ZIMBABWE,14
246,Nicholas Mabodoko,ZIMBABWE,800407872,Stub,ZIMBABWE,14
247,Fay Chung,ZIMBABWE,800705666,B,ZIMBABWE,14
248,Alfred Makwarimba,ZIMBABWE,801370822,Stub,ZIMBABWE,14
249,Elphas Mukonoweshuro,ZIMBABWE,801488585,Stub,ZIMBABWE,14
250,Elton Mangoma,ZIMBABWE,801497420,Start,ZIMBABWE,14
251,Edna Madzongwe,ZIMBABWE,802259324,Start,ZIMBABWE,14
252,Fidelis Mhashu,ZIMBABWE,803084855,Stub,ZIMBABWE,14
253,Promise Mkwananzi,ZIMBABWE,803579259,Start,ZIMBABWE,14
254,Saviour Kasukuwere,ZIMBABWE,804677245,Start,ZIMBABWE,14
255,Walter Mzembi,ZIMBABWE,804678140,Stub,ZIMBABWE,14
256,Kembo Mohadi,ZIMBABWE,804811059,Start,ZIMBABWE,14
257,Learnmore Jongwe,ZIMBABWE,804844902,Start,ZIMBABWE,14
258,Lovemore Madhuku,ZIMBABWE,804895632,C,ZIMBABWE,14
259,List of Finance Ministers of Zimbabwe,ZIMBABWE,804914333,Stub,ZIMBABWE,14
260,Joice Mujuru,ZIMBABWE,805993308,C,ZIMBABWE,14
261,Ignatious Chombo,ZIMBABWE,806656210,Start,ZIMBABWE,14
262,Robert Mugabe,ZIMBABWE,806814411,FA,ZIMBABWE,14
263,Tichafa Samuel Parirenyatwa,ZIMBABWE,807159774,C,ZIMBABWE,14
264,Guy Georgias,ZIMBABWE,807196681,C,ZIMBABWE,14
265,Grace Mugabe,ZIMBABWE,807337237,GA,ZIMBABWE,14
266,Guy Clutton-Brock,ZIMBABWE,807442408,Start,ZIMBABWE,14
267,Template:Uganda-politician-stub,UGANDA,391862070,Stub,UGANDA,44.1
268,Template:Uganda-mayor-stub,UGANDA,444767727,Stub,UGANDA,44.1
269,Yosia Nadiope of Busoga,UGANDA,655390291,Stub,UGANDA,44.1
270,Patrick Mutono,UGANDA,684295893,Stub,UGANDA,44.1
271,Stanislaus Okurut,UGANDA,689614169,Stub,UGANDA,44.1
272,Charles Oboth Ofumbi,UGANDA,693292931,Start,UGANDA,44.1
273,Pumla Kisosonkole,UGANDA,693388584,Start,UGANDA,44.1
274,Francis K. Butagira,UGANDA,707473503,Start,UGANDA,44.1
275,Otema Allimadi,UGANDA,708054598,Stub,UGANDA,44.1
276,Omwony Ojwok,UGANDA,713020154,Stub,UGANDA,44.1
277,Jachan Mandir Omach,UGANDA,715433158,Stub,UGANDA,44.1
278,Onegi Obel,UGANDA,717146307,Start,UGANDA,44.1
279,Saleh Kamba,UGANDA,720059752,Stub,UGANDA,44.1
280,John Kabaireho,UGANDA,723957779,Stub,UGANDA,44.1
281,Tete Chelangat,UGANDA,724554948,Stub,UGANDA,44.1
282,Sarah Kanyike,UGANDA,725742962,Start,UGANDA,44.1
283,Gagawala Wambuzi,UGANDA,726767754,Stub,UGANDA,44.1
284,Julius Wandera Maganda,UGANDA,726918511,Stub,UGANDA,44.1
285,Haruna Kasolo Kyeyune,UGANDA,726919678,Stub,UGANDA,44.1
286,Yabezi Kiiza,UGANDA,736273855,Stub,UGANDA,44.1
287,Semei Kakungulu,UGANDA,737799048,C,UGANDA,44.1
288,Abu Mayanja,UGANDA,746946728,C,UGANDA,44.1
289,Daniel Kidega,UGANDA,753278613,Start,UGANDA,44.1
290,Eng Abner Nangwale,UGANDA,756457100,Stub,UGANDA,44.1
291,Yowabu Magada Kawaluuko,UGANDA,757388522,Start,UGANDA,44.1
292,Grace Kwiyucwiny,UGANDA,757563021,Start,UGANDA,44.1
293,Mary Goretti Kitutu,UGANDA,757615490,Start,UGANDA,44.1
294,Rukiya Chekamondo,UGANDA,757616921,Start,UGANDA,44.1
295,Sezi Mbaguta,UGANDA,757617202,Start,UGANDA,44.1
296,Frederick Ngobi Gume,UGANDA,758395750,Stub,UGANDA,44.1
297,Rosemary Seninde,UGANDA,758567928,Start,UGANDA,44.1
298,Gerald Ssendaula,UGANDA,759366517,C,UGANDA,44.1
299,Juma Oris,UGANDA,759378614,Stub,UGANDA,44.1
300,Godfrey Kiwanda,UGANDA,759877869,Stub,UGANDA,44.1
301,Geoffrey Onegi Obel,UGANDA,760056661,Start,UGANDA,44.1
302,Tom Butime,UGANDA,760181848,Start,UGANDA,44.1
303,Dennis Galabuzi Ssozi,UGANDA,760184747,Start,UGANDA,44.1
304,Ken Lukyamuzi,UGANDA,763247419,Stub,UGANDA,44.1
305,Victoria Sekitoleko,UGANDA,766481345,C,UGANDA,44.1
306,Emmanuel Otala,UGANDA,766665157,Start,UGANDA,44.1
307,Kabakumba Masiko,UGANDA,770316807,C,UGANDA,44.1
308,Innocent Oula,UGANDA,771724283,Start,UGANDA,44.1
309,Isaac Mulindwa,UGANDA,773245217,Start,UGANDA,44.1
310,Hope Mwesigye,UGANDA,773870932,Start,UGANDA,44.1
311,Katikkiro of Buganda,UGANDA,774683767,Stub,UGANDA,44.1
312,Daudi Cwa II of Buganda,UGANDA,774683907,Start,UGANDA,44.1
313,Ssuuna II of Buganda,UGANDA,774684052,Start,UGANDA,44.1
314,Kamaanya of Buganda,UGANDA,774684080,Start,UGANDA,44.1
315,Semakookiro of Buganda,UGANDA,774684109,Start,UGANDA,44.1
316,Jjunju of Buganda,UGANDA,774684124,Start,UGANDA,44.1
317,Kato Kintu,UGANDA,774684195,Stub,UGANDA,44.1
318,Chwa I of Buganda,UGANDA,774684228,Start,UGANDA,44.1
319,Kyabaggu of Buganda,UGANDA,774830237,Start,UGANDA,44.1
320,Kiweewa of Buganda,UGANDA,774831268,Start,UGANDA,44.1
321,Ismael Orot,UGANDA,775522497,Stub,UGANDA,44.1
322,James Obita,UGANDA,775995921,Stub,UGANDA,44.1
323,Janat Mukwaya,UGANDA,776107670,Start,UGANDA,44.1
324,Besueri Kiwanuka Lusse Mulondo,UGANDA,776344991,Start,UGANDA,44.1
325,Jeremiah Twa-Twa,UGANDA,776491782,Start,UGANDA,44.1
326,Joyce Kakuramatsi Kikafunda,UGANDA,777643576,Stub,UGANDA,44.1
327,Kania Obiga,UGANDA,778265355,Stub,UGANDA,44.1
328,Apollo Kironde,UGANDA,778598971,Stub,UGANDA,44.1
329,Kibirige Mayanja,UGANDA,778840186,Start,UGANDA,44.1
330,Kintu Musoke,UGANDA,779007768,Start,UGANDA,44.1
331,Jessica Alupo,UGANDA,779397351,Start,UGANDA,44.1
332,Rebecca Amuge Otengo,UGANDA,779397437,Start,UGANDA,44.1
333,Syda Bbumba,UGANDA,779397532,Start,UGANDA,44.1
334,Alintuma Nsambu,UGANDA,781605803,Stub,UGANDA,44.1
335,Esther Mbulakubuza Mbayo,UGANDA,781789704,Start,UGANDA,44.1
336,Abdul Nadduli,UGANDA,782460126,Stub,UGANDA,44.1
337,Moses Kizige,UGANDA,782979760,Start,UGANDA,44.1
338,Maria Kiwanuka,UGANDA,783449036,Start,UGANDA,44.1
339,Elijah Mushemeza,UGANDA,784734768,Start,UGANDA,44.1
340,Michael Lulume Bayigga,UGANDA,784768216,Start,UGANDA,44.1
341,Deo Rwabiita,UGANDA,785038536,Stub,UGANDA,44.1
342,Daudi Ochieng,UGANDA,785108122,Stub,UGANDA,44.1
343,Joy Kabatsi,UGANDA,785339072,Start,UGANDA,44.1
344,Joshua Wanume Kibedi,UGANDA,785862055,C,UGANDA,44.1
345,Kizza Besigye,UGANDA,786081128,C,UGANDA,44.1
346,Apolo Kagwa,UGANDA,786226893,C,UGANDA,44.1
347,Michael Kawalya Kagwa,UGANDA,787306486,Stub,UGANDA,44.1
348,Abed Bwanika,UGANDA,787410566,Start,UGANDA,44.1
349,Aggrey Awori,UGANDA,787858057,C,UGANDA,44.1
350,Aggrey Bagiire,UGANDA,787858062,Stub,UGANDA,44.1
351,Agnes Akiror,UGANDA,787870163,Start,UGANDA,44.1
352,Namirembe Bitamazire,UGANDA,788019797,Start,UGANDA,44.1
353,Amon Bazira,UGANDA,788899061,Stub,UGANDA,44.1
354,Christopher Iga,UGANDA,788972378,Stub,UGANDA,44.1
355,Nasser Sebaggala,UGANDA,788972461,Start,UGANDA,44.1
356,Erias Lukwago,UGANDA,788972566,Start,UGANDA,44.1
357,Template:KampalaMayors,UGANDA,788972642,Stub,UGANDA,44.1
358,Beatrice Wabudeya,UGANDA,789747515,Start,UGANDA,44.1
359,Jane Aceng,UGANDA,789747629,C,UGANDA,44.1
360,Ruth Achieng,UGANDA,789747664,Stub,UGANDA,44.1
361,Justine Ayebazibwe,UGANDA,789748037,Stub,UGANDA,44.1
362,Jessica Eriyo,UGANDA,789748269,Start,UGANDA,44.1
363,Mary Karooro Okurut,UGANDA,789748670,Start,UGANDA,44.1
364,Adrian Tibaleka,UGANDA,789748752,Stub,UGANDA,44.1
365,Nusura Tiperu,UGANDA,789748782,Start,UGANDA,44.1
366,Florence Nakiwala Kiyingi,UGANDA,789748978,Start,UGANDA,44.1
367,Ruth Nankabirwa,UGANDA,789799593,Start,UGANDA,44.1
368,Justine Lumumba Kasule,UGANDA,789799605,Start,UGANDA,44.1
369,Idah Nantaba,UGANDA,789799744,C,UGANDA,44.1
370,Harriet Ntabazi,UGANDA,789799847,Start,UGANDA,44.1
